id,chat_id,sender,content,created_at,input_tokens,output_tokens
1,chat_001,human,"Oi, você pode me explicar o que é machine learning?",2026-01-07T09:01:12Z,,
2,chat_001,ai,"Claro. Machine Learning é uma área da inteligência artificial focada em criar sistemas que aprendem padrões a partir de dados, sem serem explicitamente programados para cada regra.",2026-01-07T09:01:18Z,120,48
3,chat_001,human,"Isso é usado em quais tipos de empresa?",2026-01-07T09:01:45Z,,
4,chat_001,ai,"É usado em empresas de tecnologia, bancos, e-commerce, saúde, marketing e basicamente qualquer negócio que trabalhe com grandes volumes de dados.",2026-01-07T09:01:51Z,98,36
5,chat_002,human,"Quanto custa usar uma IA como essa por mês?",2026-01-07T10:14:03Z,,
6,chat_002,ai,"O custo depende do modelo utilizado e do volume de tokens processados. Em média, aplicações simples podem custar de alguns dólares até centenas por mês.",2026-01-07T10:14:09Z,110,42
7,chat_002,human,"Tem como controlar esse custo?",2026-01-07T10:14:40Z,,
8,chat_002,ai,"Sim. É possível controlar custos limitando tokens, escolhendo modelos mais baratos e reutilizando respostas sempre que possível.",2026-01-07T10:14:46Z,105,39
9,chat_003,human,"Você consegue me ajudar a automatizar meu atendimento?",2026-01-07T11:32:10Z,,
10,chat_003,ai,"Consigo sim. Podemos estruturar fluxos de atendimento automatizado com regras claras e respostas baseadas nas dúvidas mais frequentes dos seus clientes.",2026-01-07T11:32:17Z,130,46
11,chat_003,human,"Isso funciona via WhatsApp?",2026-01-07T11:32:44Z,,
12,chat_003,ai,"Funciona, desde que integrado a uma plataforma de mensagens. O comportamento da IA permanece o mesmo, mudando apenas o canal.",2026-01-07T11:32:51Z,102,37
13,chat_004,human,"Vocês atendem pequenas empresas?",2026-01-07T12:05:10Z,,
14,chat_004,ai,"Sim. Pequenas empresas costumam se beneficiar bastante de automação com IA, principalmente em atendimento e pré-vendas.",2026-01-07T12:05:17Z,96,34
15,chat_004,human,"Preciso de muita infraestrutura?",2026-01-07T12:05:48Z,,
16,chat_004,ai,"Não. É possível começar com soluções simples em nuvem, sem necessidade de servidores próprios ou times grandes.",2026-01-07T12:05:55Z,101,38
17,chat_005,human,"A IA entende português bem?",2026-01-07T13:10:02Z,,
18,chat_005,ai,"Sim. Os modelos atuais possuem excelente compreensão de português, inclusive variações regionais e linguagem informal.",2026-01-07T13:10:09Z,104,40
19,chat_005,human,"Ela aprende com as conversas?",2026-01-07T13:10:41Z,,
20,chat_005,ai,"Ela pode ser configurada para melhorar respostas com base em dados históricos, respeitando regras de privacidade.",2026-01-07T13:10:48Z,118,44
21,chat_006,human,"Dá pra integrar com meu sistema atual?",2026-01-07T14:02:11Z,,
22,chat_006,ai,"Na maioria dos casos sim. APIs permitem integrar a IA com CRMs, ERPs e outros sistemas existentes.",2026-01-07T14:02:18Z,110,41
23,chat_006,human,"Isso demora muito pra ficar pronto?",2026-01-07T14:02:47Z,,
24,chat_006,ai,"Depende da complexidade, mas projetos simples podem ficar prontos em poucos dias.",2026-01-07T14:02:54Z,92,33
25,chat_007,human,"Meus dados ficam seguros?",2026-01-07T15:20:06Z,,
26,chat_007,ai,"Sim. Boas implementações usam criptografia, controle de acesso e não expõem dados sensíveis.",2026-01-07T15:20:13Z,115,43
27,chat_007,human,,2026-01-07T15:20:40Z,,
28,chat_007,ai,"Sim. As soluções são pensadas para atender requisitos da LGPD e boas práticas de governança de dados.",2026-01-07T15:20:47Z,108,39
29,chat_008,human,"Isso substitui meu time?",2026-01-07T16:11:22Z,,
30,chat_008,ai,"Não. A IA atua como apoio, automatizando tarefas repetitivas e liberando o time para atividades estratégicas.",2026-01-07T16:11:29Z,112,42
31,chat_008,human,"Ela pode errar?",2026-01-07T16:11:55Z,,
32,chat_008,ai,"Pode sim. Por isso é importante definir limites, validações e supervisão humana.",2026-01-07T16:12:02Z,97,35
33,chat_009,human,"Tem suporte depois da entrega?",2026-01-07T17:03:14Z,,
34,chat_009,ai,"Sim. Oferecemos suporte contínuo e ajustes conforme o uso real da solução.",2026-01-07T17:03:21Z,99,36
35,chat_009,human,"Consigo escalar depois?",,,
36,chat_009,ai,"Sim. A arquitetura permite escalar volume de mensagens e usuários conforme a demanda.",2026-01-07T17:03:53Z,107,40
37,chat_010,human,"Isso funciona 24 horas?",2026-01-07T18:15:08Z,,
38,chat_010,ai,"Funciona sim. A IA pode atender clientes 24/7 sem interrupções.",2026-01-07T18:15:15Z,93,34
39,chat_010,human,"E se eu quiser desligar?",2026-01-07T18:15:42Z,,
40,chat_010,ai,"É possível pausar ou desligar o sistema a qualquer momento.",2026-01-07T18:15:49Z,89,32
41,chat_011,human,"Vocês ajudam na implantação?",2026-01-07T19:01:03Z,,
42,chat_011,ai,"Sim. Acompanhamos desde o planejamento até a implantação final.",2026-01-07T19:01:10Z,100,37
43,chat_011,human,"Preciso treinar alguém?",2026-01-07T19:01:36Z,,
44,chat_011,ai,"Oferecemos treinamento básico para que sua equipe saiba operar e ajustar a solução.",2026-01-07T19:01:43Z,111,41
45,chat_012,human,,2026-01-07T20:10:05Z,,
46,chat_012,ai,"Normalmente os primeiros resultados aparecem nas primeiras semanas de uso.",2026-01-07T20:10:12Z,95,35
47,chat_012,human,"Isso melhora conversão?",2026-01-07T20:10:38Z,,
48,chat_012,ai,"Sim. Respostas rápidas e consistentes tendem a aumentar engajamento e conversão.",2026-01-07T20:10:45Z,109,40
49,chat_013,human,"Posso testar antes?",2026-01-07T21:02:19Z,,
50,chat_013,ai,"Sim. É possível iniciar com um piloto para validar a solução antes de escalar.",2026-01-07T21:02:26Z,98,36